aalug-alog	shaky, rickety
dumako	to go somewhere, towards something
dumal	shabbiness of environment or circumstances
dumaló	to attend, attended
dumami	to increase in number
dumának	to flow, pour out
dumanas	to undergo, experience
dumapâ	purposely dropped to the ground on one’s belly / face down (dapâ)
dumarami	to increase in amount
dumating	to arrive, come
dumí	feces, dirt
dumoon	to go there
dumulas	to slip
dumulóg	to appear before someone, to turn to someone for help
dumumí	to defecate
dúnong	knowledge, wisdom, learning, education
dupók	fragility
duwág	coward
duyan	cradle, hammock, swing
e di	"eh, kung hindi", "well if not, then..", so.., therefore..
echapwera	to be neglected or ignored (sp "echa fuera": to throw outside)
edad	age
embahada	embassy
ensáyo	practice
eskinita	alley
estánte	shelf, showcase, bookcase
estero	estuary
estilo	style
gaano	how much
gaano kalayo	how far?
gaano man	however/however much
gabáy	guide, support; handrail
gabí	night
gabíng-gabi	late (at night)
gabunán	aswang na kumakain ng lamán ng tao minsan sa isang taon
gagambá	spider
gagáp	very well known; profound knowledge; comprehend; grasp; understand deeply
gahak	a rip, tear, chink
gahák	ripped
gaháman	slang(?) greedy
gahasa	rape
galà	rove, wander
galák	joy, delight
galakín	to cheer up someone
galamáy	tentacle; helper, enabler
galang	respect
galante	generous
galaw	movement (linear); a "move" as in chess; stir, activity; disturbing unnecessarily; stealing; joke, jest
galawin	to move, disturb something
galíng	merit, skillfulness, proficiency
gáling	from where
galit	anger
galít	angry; to hate/dislike
gálos	slight scratch
galugad	exploring
gambalà	disturbance, nuisance, interruption
gamit	use
gamít	(adj) chosen (eg 'gamit na salita'), used, second-hand; usage; "using" as "gamít ang"
gamót	medicine
gampan	fulfilling some duty, task, etc. (ginagampan, ginampan, gagampan)
gana	appetite, enthusiasm, interest
gana	to be in operation
ganáp	complete, perfect, total, thorough; fulfilled, completed
ganid	carnivore; tightwad; brute
ganirí	like this, in this way/manner (gáya + nirî) (also gayarí)
ganito	like this, in this manner (gaya nito)
gantí	revenge, retribution, return
ganundin	likewise (ganoon din)
ganyán	like that (gaya + niyan)
gapok	rotten inside (wood); fragile (wood, clothes, etc. due to age)
garapál	openly shameless, brazen, shamelessly greedy.  often used regarding polititions
garapón	mason jar
garbo	elegance; boast
gasgás	scratch, abrasion
gasgasín	to scratch
gastahan	to spend on
gastos	expense, cost
gastusan	to spend money (ginagastusan, ginastusan, gagastusan)
gatang	unit of measure for rice/grain
gatong	firewood, fuel; to feed with fuel, to put into the fire as fuel
gawâ	to do, to make
gawa ng	because../due to../given that../as..
gawâ-gawâ	something that is made up (not real)
gawad	award, bestowal, grant, prize [syn. gantimpala', premyo]
gawan	to do for, make for
gawin	to do, perform, adapt, make
gaya	(also kagaya) imitation; like, similar, followed by ng phrase
gayák	dressed up; decoration, trimmings, intention
gayarí	like this, in this way/manner (gáya + nirî) (also ganirí)
gayón	such, like that (gaya + niyon)
gayón din naman	likewise
gayundin	likewise, in the same way
gayunman	nevertheless, yet, however (gayón + man)
gayunpaman	nevertheless, however (gayón + pa + man)
giba	demolished
gibain	to demolish
gibay	balancing, oscillating
gibík	saklólo
giit	insistence; assertion; persistent asking
gila	demolished
gilagid	gums (anatomy / in one's mouth)
gilalás	amazement, takáng-taká, namanghâ
gilálas	damdaming bunga ng malakíng tákot
gilálas	malakíng gúlat o anumang pagdudulot ng gúlat o taká
gilid	edge, border, margin; a slope of a hill
giliran	edge, border
giliw	being hospitable; fondness; affection
ginágawâ	doing, do (ongoing)
ginagawan	to make something of it
ginang	title for a married woman; mrs, ma'am, madam
ginastos	spent
ginintuan	golden
ginisa	sautéed, stir-fried
ginoó	mister, sir; gentleman
ginto	gold
ginugol	spent
giri	affected strutting around
gisa	to sauté, stir-fry
gíting	heroism
gitlíng	hyphen
gitna	middle, center, midst
gíwang	vacillation, swaying, wobbling
giyá	guide
golgól	bow or the act of bowing down, stoop
goma	rubber
grabe	wow!, intense, extreme, wild/crazy, etc..
granada	pomegranate; hand grenade
grasa	grease
grasáhan	to grease
gripo	faucet, tap
gubat	forest, jungle
guhò	landslide; collapse; ruins
guhúnan	collapsed
gulang	age
gulangan	to take advantage of an inexperienced person (“to use age on”)
gulantáng	startled (gulat)
gulat	shock, surprise
gulát	(adj.) scared, frightenened, shocked
gulatin	to scare, frighten
gulgól	waste, by-product
gulo	disorder
gúlok	machete, sword
gulóng	wheel
gúlong	to roll
gulpí	to beat up; to hit, strike
gulumihan	disturbance or disorder of the mind, especially from fear or worry (gulomi)
gumagaling	improving
gumagana	functioning properly
gumalà	to roam around
gumalaw	to move
gumaling	to get better from a sickness
gumanáp	to perform, act
gumanda	beautify
gumasta	to spend money
gumawa	to make, create, produce, commit, undertake
gumitgit	(gitgit) to advance by repeated slight movements, to go forward by force
gumugol	to spend (money, time)
gunaw	end of the world, destruction of all things, deluge
gunggóng	moron, idiot
guni-guní	hallucination; imagination; illusion; figment; mirage
gunitâ	memory, recollection
gunting	scissors
guro	teacher
gusali	building, structure
gusgós	dirtiness
gusgúsin	dirty, untidy
gusto pa	still want
gutom	hunger
gutóm	hungry
habà	length
habaan	extend, lengthen
habágat	southwest, often ref. to storm winds
hábang	(haba + na) while, throughout, during
hábang-buhay	lifelong, "while alive" (var: habambuhay)
habang-panahon	"while time", forever
habas	prudence, discretion
habilin	will (legal document); something entrusted to someone; trust (habil)
hablot	grab
habol	pursue, run after, chase
hábong	hut, pavilion, temporary shelter
hadlang	obstacle, obstruction
hagdán	ladder, stairs
hagikgíkan	snicker, giggle
haginit	cracking sound; swishing sound of swiftly passing vehicles
hagkán	to kiss someone (variant of halikan)
hagók	snore (also harók)
hagpís	sorrow
hagupít	whipping; beating; devastation; stroke with a whip; thrashing; repeated strokes of a whip
hain	food on a table; offering in sacrifice; tribute
háka-hakà	a myth, rumor, supposition; imaginary
hakbáng	step; stepping; move
hakbangin	(n) steps
halá	Watch out!, Oh no!, Geez!, Wow!, Oh my!, exclamation of warning, surprise, etc.
halagá	price, cost, charge, worth, value, importance
halál	vote, elective
halalan	election
halalhál	a loud, hearty laugh, guffaw, boisterous laughing
halaman	a plant
haligi	post, column, pole, beam
halika	come here
halikhík	a high-pitched, somewhat suppressed laugh, as if held back in the throat; giggle; chuckle; snicker
halímaw	beast, monster
halimbawâ	example, "for example"
halimuyak	fragrance, scent; whiff; spreading of scent, etc.
halina	Come along!, Let's go!, Come here!
hálinhínan	taking turns
halintulad	parallel, analogous
halip	stead, alternative, substitute (sa halip: instead)
haliparot	flirtatious, loose woman
hálos	almost, nearly; approximately, about
hámak	lowly, humble; mean, petty, shabby
hamakin	to belittle, scorn
hamba	jamb (as in 'door jamb')
hambalos	whacking
hambóg	boastful, proud, vain, arrogant, stuck-up (esp referring to a man)
hamóg	fog, water vapor
hámon	a challenge
hamok	hand-to-hand fight
hampas	to hit, to strike
hanap	quest; object of search, find
hanap-buhay	livelihood, job, way of making a living
hanap-hanapin	to miss something absent
hanapin	seek, try to find, hunt, search (hinahanap, hinanap, hahanapin)
handâ	ready, prepared
handáan	a party with prepared food
handog	to present, offer; donation; dedication; fee
hanep	amazing, wow!
hangà	admiration, appreciation, amazement (root)
hangád	(n) desire, purpose, ambition, intention
hangál	foolish; stupid; asinine
hangarin	(n) desire, purpose, ambition, intention
hangarín	to desire, aspire, mean, seek, woo (hinahangad, hinangad, háhangarín)
hangga	result, end, outcome
hanggahán	end point, limit
hanggán	end, boundary, limit
hanggánan	end, boundary, limit (stylized variant of "hanggán")
hanggang	until, up to
hanggát	("hanggang at") while/during; unless; as long as (like 'basta')
hangin	air, wind
hango	relief from difficulties; literary adaptation or reproduction from original; derived, extracted, adapted
hángos	pagmamadalî maging sa pagsalita, sa pagkilos, o sa paggawâ
hantik	large, red, poisonous ant
habág	compassion; disconsolate feeling; self-pity
hapág	table; low table made of bamboo
hapít	tight fitting, tense, taut
haplos	caressing, stroking, petting
harana	serenade
hárang	obstacle
harangin	to block
haráp	front
harina	flour, starch
harinawá	God willing, hopefully
harók	snore (also hagók)
harót	unladylike, coarse, unrefined, boisterous
hasík	sown
hasikán	sow a place with seeds
háspé	jasper; polished or shined
hatak	pulling (batak, hila)
hataw	thrashing, beating; (slang): eat food with gusto; (slang): go faster
hati	sharing, taking part in, dividing
hati-hati	dividing
hatid	escorting; conducting; accompanying
hating-gabi na	it's late (at night)
hating-kapatid	half-sibling
hatinggabi	midnight
hawa	infection, contagion
hawak	hold, grasp; unwanted touch
hawakan	to take hold of
hawíg	similar, alike, akin
hayà	tolerance of an act; threatening gesture
hayaàn	to let, allow, let be (hayà, see also bayáan, pabayáan)
hayaàn mo na lang	just let it be
hayág	out in the open, easily seen, public, exposed view
háyo	forward!, move ahead
hayop	animal
heto	"here"
hibáng	a crazy person; delirious
hidhid	a selfish person
hidwaan	disagreement, quarrel
higála	friend
higít	more (than), over (higit na..)
higpít	tightness; strictness, severity
hikahós	needy, poor, bankrupt
hikaw	earring
hikayat	persuasion, encouragement toward a particular action
hikayatin	to endorse
hila	pull
hilaga	north
hilahin	to pull
hilakbót	fear, terror
hilaw	uncooked, raw; green; unripe
hilì	envy
hilig	liking, desire, inclination, hobby, propensity, leaning position/(slant)
hilik	snore
hiling	a request, claim, application
hilom	cicatrization/healing of a wound; closing up of an opening (crevice); nightfall
himagsík	rebellion; uprising (bagsik)
himágod	slight fatigue, loss of heart
himalâ	miracle
himások	interference, meddling, intrusion (pasok)
himasmás	to regain consciousness or wake up
himatay	faint, swoon
himatóng	showing the directions to a place; denunciation; general information (also 'himatón')
himay	shelling, husking; stringing and chopping up of beans; rest after work, relaxing before going to bed
himayin	to separate grains of corn from the cob, peas from a pod, etc.
hímig	tune, melody; note
himláy	slumber
himlayan	bed; cemetery
himok	persuasion, urging, pleading, attempting to convince
himpapawíd	atmospheric space, the space above the ground, or esp. above rooftops
himutók	deep resentment, loud sigh, “outcry”
hinaan	to lower the volume
hinaíng	complaint, grievance, frustration, supplication, earnest request (daíng)
hinalà	suspicion
hinanakít	resentment, grudge, bitterness
hindí kailanmán	never
hindî na	not any more, no more, no longer; not now, no further; never; never mind
hindí	no/not (as in do not, cannot, is not, am not, will not, would not; so as not to..)
hindík	labored breathing; gasp in fright; sudden feeling of fright
hinding-hindi	never
hingá	breath, breathing (humingá)
hingalô	death pangs; moribund state; kondisyong malapit nang mamatay, ágaw-búhay (paghihingalo, pag-aagaw-buhay, pagdidiliryo)
hinggíl	about, regarding
hingi	to ask for something; a request
hingin	to ask for something
hiningá	what was breathed out, breath (n)
hintay	wait
hinto	stop, halt, pause; stop!
hintuan	stopping place
hinuhà	deduction, inference
hinuhod	allowing, giving in, giving permission
hipag	sister in law
hipan	to blow
hipo	touch
hirám	something borrowed
hirap	difficulty, trouble
hirit	full force of a blow; asking for something; talking out of turn (also 'bírit')
hità	thigh; upper leg
hitík	filled with, full, plentiful, abounding
hiwagà	mystery
hiwalay	separated
hiwátig	hint, clue
hiyás	gem, jewel
hubad	naked (orig. from the waist up now more common and explicit than hubô)
hubaran	to strip of clothes (hubad)
hubarin	to disrobe (hubad)
hubdin	strip off (hubad)
hubô	naked (orig. from the waist down)
hubo’t hubad	completely naked
hugas	wash, rinse
hugasan	to wash, rinse
hugis	shape, form
hugot	to pull or draw out; coll. drawing out feelings from deep within
hugpóng	joint
hukay	excavation, hole, pit, crater; grave
Húkbalaháp	The People's Army Against the Japanese (Hukbo ng Bayan Laban sa Hapon)
hukbo	army
hukuman	a court of law (also "hukoman")
hukoman	a court of law (also "hukuman")
hulà	guess, forecast
hulaán	to guess
hulagpos untied, loosened from bindings/bonds
huli	catch
hulí	(n) end; (adj) late, tardy, belated, last, final; (adv) last, on the latest occasion
hulog	payment installment; contribution/quota payed by a member
hulog	significance, construction, interpretation, purport; translation; capture
húlog	fall/fallen (lit/fig), falling, failure (eg, of exam), drop
humadlang	to stand in the way, to obstruct
humaginit	to swish by, to swish / swished; whine; make a whining sound; zip, swish by; whistle
humagok	to snore
humakbáng	to step, to stride (actor) <humakbáng, humáhakbáng, háhakbáng>
humalili	to substitute, to replace (halili, -um-) 
humamak	to treat with contempt (hámak)
humanda	to prepare
humango	to appropriate a certain amount of goods
humawak	to hold on to something
humigít	to outnumber, exceed, outweigh
