(mga) baryá	coins
Atin ito.	This belongs to us. (you and us)
Ating gamitin ang ilaw.	Let’s use the light.
atraso	arrears, lateness
Awit is also a narrative poetic form in Philippine literature. The most	famous Filipino awit is [67]Florante at Laura.
áwit	song
Awitan mo ako.	Sing to me.
awitan, n	song contest
awitan, v	to sing to someone
awitin	common songs
awiting bayan	folk song, folksong
Ay palpak!	Oh, fail.
Ay, katahimikang di mabasag-basag maging ng huni ng mga kuliglig sa	pagtatakipsilim.
Ayán na naman sila.	There they go again.
Ayán na naman.	Yet again.
Ayán nga ang problema.	So it is… that’s the problem.
Ayán.	There!
Ayaw akong payagan.	(They) don’t want to give me their ok.
Ayaw ko nang magsinungaling pa.	I don’t want to lie any more.
Ayaw kong gawin kasi ang hirap.	I don’t want to do it because it’s so hard.
Ayaw kong lumuhod.	I don’t want to kneel.
Ayaw kong magsinungaling.	I don’t want to lie.
Ayaw nila akong payagan.	They don’t want to give me their ok.
Ayoko ng maasim.	I don’t like sour stuff.
Ayoko ng tinapay.	I don’t want bread.
Ayoko sa dilim.	I don’t like it in the dark.
Ayoko.	I don’t want.
Ayokong maglakad. / Ayokong lumakad.	I don’t want to walk.
Ayokong manood.	I don’t want to watch.
Ayokong mawalay sa iyo.	I don’t want to be separated from you.
Ayokong ngumiti.	I don’t want to smile.
Ayokong pumasok sa opisina.	I don’t want to go to the office.
Ayon sa pangulo, malaking problema ito.	According to the president, this is a big problem.
áyon sa ulat	according to the report
áyon sa	according to
Ayos lang.	Just fine.
Ayos!	Good! OK!
ayudánte	adjutant
ayudánte: opisyal na nagsisilbing katuwang ng pangunahing opisyal sa	pagbibigay ng utos (militar)
Ba’t ka nagreklamo?	Why’d you complain?
ba·híng	sneeze
ba·nál	holy, virtuous, blessed
bá·on	packed lunch or snack
bá·on	provisions
ba·yá·ni	hero
Baba na kayo.	You guys come down already.
baba	to descend
babaan	a place where you get off a vehicle
Bababa ba ang elebeytor?	Will the elevator be going down?
Bababa ka ba?	Are you getting off? (vehicle)
Bababa ka ba?	Are you going down? (elevator)
Bababa ka ba?	Are you going down? (elevator)
babaeng anak	female child
Babala!	Warning!
Babalaan ko sila.	Warn the others.
babalaan	to warn
Babangon ako nang maaga bukas ng umaga.	I’ll get up early tomorrow morning.
babasagin	breakable, fragile
Babawi ako.	I’ll make up for it.
baga ng uling	coal ember
bagá	(empathic marker)
baga	ember
bagà	lung
bagalan	to make slower
Bagaman gusto ko ang kulay ng damit, ayoko ang tabas.	While I like the color of the dress, I don’t like its cut.
bagamán: katagang nagpapasubali sa bagay na naipahayag na, karaniwang	sinasamahan ng dinaglat na at upang maging bagama’t
Bagay ito sa palda mo.	This goes well with your skirt.
Bagay kayong dalawa.	You two look good together.
bagay na kinuha sa kondisyong isasauli rin; hinalaw, binuod, kinuha,	hinango (tulad ng mga bagay na pampanitikan)
Bagay sa iyo ito.	This looks good on you.
bagay	matter, item, article
bagay-bagay	various things
bago matapos ang lahat	before everything finishes
Bágo sumapit ang Pasko.	Before Christmas arrives.
bágo	before
bagong gupit	having hair that’s newly cut
bagong salta	newcomer
bagong taon	new year
bagong tasa (slang)	new sportscut of the hair
bagong tayo	newly established
Bagong Tipan	New Testament
bagong uso	new trend
bagong…	new…
bagong-bago	very new
bagong-bago	very new
bagsak	decline
bagsak	sudden fall or crash
bagsak	to fail in school
baguhin	to change
Bagyó ang konsiyerto.	The concert was a success.
bagyo	typhoon, storm
bahagi ng katawan	part of the body
bahagi ng plano	part of the plan
bahagi	part, fraction, segment
bahagiin	to partition, parcel out, portion out
Bahaginan mo ng tinapay ang pulubi.	Give some bread to the beggar.
bahaginan	to share a portion with someone, to give
Bahagyâ lamang ang lagnat.	The fever is merely slight.
bahagyâ	slightly, a little, somewhat
bahain	to flood
bahay kalakal	trading house
bahay-itlog	ovary
bahay-paaralan	schoolhouse
bahay-pagamutan	structure like a hospital
bahay-panuluyan	boarding house
bahid	stain, smear, trace
bahid-dungis	dirt stain, stain on one’s name
bahid-pulitika	stain of politics
bait	niceness
bak·bák	detached
Bakâ hindi nila alam.	Maybe they don’t know.
Baka hindo ako makaipon.	I might not be able to save.
Baka maaga sila dumating.	They might arrive early.
Baka madulas ka.	You might slip.
Bakâ magalit si Lola.	Grandma might get mad.
Baka maging manyakis ang kapatid mo.	Your younger brother might become a pervert.
Baka mapilay.	Might suffer a sprain or dislocation.
Baka masisante ka.	You might get fired.
Baka matamaan ako.	I might get hit.
Baka suwertehin ka.	Maybe you’ll get lucky.
báka	(used in conjugated form as below)
bakâ	perhaps, maybe, might
bakas ng paa	footprint
bakas	print, mark, track, imprint, trace
Bakasakaling magbago ang isip mo…	Perchance your mind will change…
bakbák: tanggal, tuklap, alis, baklas, napaknit, napuknat, pigtas,	laslas
bakbakan	a fight, usually physical
bakbakán	to remove skin or bark
Bakit ako mahihiya?	Why would I be embarrassed?
Bakit ako?	Why me?
Bakit ang taba ko?	Why am I so fat?
Bakit ayaw mong sumayaw?	Why don’t you want to dance?
Bakit ba ganyan? Bakit ka ganyan?	Why is it like that? Why are you like that?
Bakit di mo dinala ang aydi mo?	Why didn’t you bring your ID?
Bakit ganyan ang tingin nila sa iyo?	Why are they looking at you that way?
Bakit hindi ka sumali sa kanila?	Why didn’t you join them?
Bakit isinara ang bangko?	Why was the bank closed?
Bakit ito?	Why this?
Bakit ka ganyan? Bastos.	Why are you like that? Rude.
Bakit ka nagsinungaling?	Why did you lie?
Bakit ka tinamad?	Why did you get lazy?
Bakit ka umiiyak?	Why are you crying?
Bakit kaya?	I wonder why…
Bakit Kita Mahal	Why I Love You
Bakit Labis Kitang Mahal	Why I Love You a Lot
Bakit Labis Kitang Mahal	Why I Love You Too Much
Bakit maaga ka?	Why are you early?
Bakit maasim ang kilikili?	Why are armpits sour (acidic)?
Bakit magkaaway ang aso’t pusa?	Why are dogs and cats enemies?
Bakit matabâ si Pedro?	Why is Pedro fat?
Bakit mausok dito?	Why is it smoky here?
Bakit mo ako iniwan?	Why’d you leave me?
Bakit mo akong iniwang mag-isa?	Why did you leave me by myself?
Bakit mo dinala ang bata?	Why did you bring the child?
Bakit mo ginagawan ng isyu ito?	Why are you making an issue out of this?
Bakit mo sila pinapasok?	Why did you let them enter?
Bakit mo sinira ito?	Why did you break/ruin this?
Bakit mo winasak ang ginawa ko?	Why did you destroy what I made?
Bakit nagsara ang bangko?	Why did the bank close?
Bakit niya ginawa ito?	Why did she/he do this?
Bakit, sa palagay mo?	Why, do you think?
Bakit?	Why?
Bakla ka daw.	He / She / They said you’re gay.
Bakla ka.	You are gay.
bakla	gay, homosexual
bakod	fence
bakunahan	vaccinate
bala ng baril	bullet of gun
Balaan mo ang iba.	Warn the others.
bala-balahan	blank cartridge
Bálak kong magka-anak.	I intend to have kids.
Bálak mo bang bumalik sa Pilipinas?	Do you plan on returning to the Philippines?
Balaking mabuti.	Plan well.
bálang [ bála + ng ]: bála (katagang katumbas ng alinman, anuman,	sinuman)… bálang araw
bálang	locust
bálang: kulisap na kawangis ng tipaklong na mabilis dumami at	pumipinsala sa mga pananim na tulad ng palay, mais, at katulad
bálang-araw	someday, one day
balát ng lumpiya	lumpia wrapper
balát ng saging	banana peel
balat ng sibuyas	onion’s skin
bálat	blotch on the skin
balát	skin, hide, pelt, rind, wrap
balát: pinakataklob o bálot ng lamán ng isang bagay, may búhay man o	wala
balát-kalabaw	thick-skinned (like a carabao)
bale	promissory note, cash advance
baligtad	inside-out, upside-down
balikatan	a shouldering of the load together
balikatin	to shoulder, to carry on one’s shoulders
balot	wrapper, wrapping
balutan	bundle, pack
balutan	to wrap
Balutin mo ako sa hiwagà ng iyong pagmamahal.	Wrap me in the mystery of your love.
Balutin mo ang regalo.	Wrap up the gift.
ban·dá	place, part
banal banáyod sa ilalim ang kayod	sinner pretending to be just
Banál na Gabi	Holy Night
Banat quotes in particular are very popular because they really “hit”	you.
banat	hitting
banat	stretching
banatin	to stretch by pulling
bandá alas siyete	around seven o’clock
bánda: makitid at malapad-lapad na pandekorasyong sintas o laso na	isinusuot nang paalampay sa balikat o paikot sa baywang
banggâ, n	car accident, collision, impact
Banggitin mo ang pangalan ko.	Mention my name.
banggitin	to mention, to cite
bangka	native canoe
bangká: hugis bangkang lalagyan ng kopra, yarì sa matigas na kahoy at	hinihila ng kalabaw
bangkâ: maliit na sasakyang pantubig, karaniwang inuka sa kahoy,	ginagamitan ng sagwan upang umusad, at may layag o katig kung minsan
bangkang papel	paper boat
bangketa	footpath
bangketang walang sagabal	sidewalks without obstructions
bango o baho; alingasaw, sangsang, sanghid; halimuyak, aroma, samyo,	alimusom; antot, bantot, anggo, lansa, angi
bangon	to arise, get up
bangús	milkfish
bansâ: komunidad ng mga mamamayan na may iisang lahi, kasaysayan, wika,	kultura, at pamahalaan
bansag; salitang nagpapalapit sa kausap; palayaw, pangalan; hiling,	pakiusap; panhik, dalaw, subida, liyamada
bansang sinilangan	country where one was born
banta ng panganib	threat of danger
banta	threat
bantáy	guard, sentry
Bantayán mo ang bahay.	Watch the house.
bantayán	to guard, watch over
bantáy-salakay	dishonest guard
banyaga	foreigner, alien
banyagang literature	foreign literature
banyagang salita	foreign word
banyagang wika	foreign language
bao ng niyog	coconut shell
baón sa utang	buried in debt
baón	to bury
barilan	gun fight
Barilin mo ang bintana.	Shoot the window.
barilin	to shoot something/someone with a gun
barkada	clique, gang
barkada	group of friends
barkong kulay puti	a ship colored white
baryá: maliit na halaga ng salaping karaniwang ginagamit sa pagbabayad	sa mumunting bilihin at sa pagsusukli
barya-barya	coins, loose change
baryang naipon	saved-up coins
baryang piso	coin peso
Basâ ang upuan.	The seat is wet.
bása	read (verb)
bása	read (verb)
basâ	wet (adjective)
basâ	wet (adjective)
basâ: nagkaroon o napatakan ng anumang likido, gaya ng tubig, dugo, o	langis
basag ang pula	crazy
baság na salamin	shattered mirror
basag-ulo	“broken head” = quarrel
basahan	rag
Basahin mo ang palad ko sa palad ko.	Read my destiny in the palm of my hand.
Basahin mo ito.	Read this.
basang kilikili	wet armpit
báso	drinking glass
Basta ang alam ko, tama ako.	All I know is that I’m right.
Basta ang alam ko…	What I know is that…
Basta bayaran mo ako, gagawin ko, kahit ano.	As long as you pay me, I’ll do anything.
batà	any child
Bata, bakit ka namamalimos sa kalye?	Child, why are you begging in the street?
bata’t matanda	young and old
batang babae	female child, girl
batang lalaki	male child, boy
batang lansangan	homeless child
batás	law
batay sa relihiyon	based on religion
batayan ng wastong nutrisyon	basis of proper nutrition, standard for proper nutrition
bátáyan	ground, basis, cause
batayán	standard, criterion
batayang batas	standard law
batayang kurikulum	standard curriculum
batí	beaten, churn
Batíd ko ang lahat tungkol sa iyo.	I know everything about you.
Batihin ang pula ng itlog.	Beat the eggyolk.
batihin	to beat
batis	creek
Bato is also the nickname of Ronald Marapon dela Rosa, the Director	General of the Philippine National Police (PNP) as of 2017.
bato sa lansangan	“stone in the street” = useless person
bato	a stone, rock
bato	kidney
batok	back of the neck
batok	nape
batong buhay	living stone (a stone thought to be breathing)
batúgan, walang hilig sa paggawa; pabaya, pangkal; aligandero;	insolente
batukan	to hit the back part of the head
Baunin mo ito.	Bring this to eat later.
Bawal ang magtapon ng basura.	Throwing trash is prohibited.
Bawal ilipat ang mga upuan.	It’s prohibited to move the chairs to another place.
Bawal ito.	This is prohibited.
bawal na pag-ibig	forbidden love
Bawal umihi dito.	Urinating here is prohibited.
bawas	discount
bawas	reduction
Bawasan ang pagkain ng taba.	Reduce the consumption of fat.
Bawasan nang bahagyâ ang tubig.	Reduce the water slightly.
bawas-perwisyo	harm reduction
bawat bata	each child
bawat isa	each one
bawat oras	every hour
bawat saglit… kaligayahan	each moment… joy
bawì	recovery
Bawiin mo ang binigay mo sa kanya.	Take back what you gave her/him.
Bawiin mo ang sinabi mo.	Take back what you said.
bawiin	take back
bayad sa pagsakay sa sasakyan	payment for riding a vehicle
bayad sa sasakyan	vehicle ride payment
bayan	town, country
báyan: palumpong (Memecyclon ovatum) na habilog ang dahon, matingkad na	asul ang bulaklak, at kulay lila ang bunga
báyan: yunit ng pangangasiwa sa gawa-ing pampolitika ng pamahalaan na	binubuo ng mga baranggay
Bayani Casimiro (1918–1989) was a Filipino dancer of bodabil	(vaudeville) in the 1930s.
bayáni: nilaláng na may katangiang tulad ng mga diyos ; mandirigma na	may espesyal na lakas, tapang, o abilidad
bayáni: pangunahing tauhang laláki sa dula, kuwento, pelikula, at	katulad
bayáni: tao na itinuturing na may kahanga-hangang katangian at may	nagawâng napakahalaga
bayaning Pilipino	Filipino hero
baybay	spelling
baybay	spelling
Baybayin is an ancient script used in the Philippines before the	arrival of the Spaniards.
baybayin	to enumerate
beses	times
bibi / bibe	duckling
Bibigyan kita ng pagkain.	I’ll give you food.
biga	glib
bígasan	rice mill
bigay	to give
bigay-alam	notice
bigay-hilig	indulgence
bigay-kaya	dowry
bigay-sala	accusation
Bigay-todo si Ana sa paglalaro.	Ana’s giving her all playing.
bigay-todo	giving one’s all
bigkás	pronunciation
bigô sa pag-ibig	failure in love
bigô	frustrated, disappointed
bigtí	strangled
bigwas, suntok, buntal, dagok; sapok, sakyod, bugbog, bambo; pukpok,	palo
Bigyan mo ako ng isa pang pagkakataon.	Give me one more chance / opportunity.
Bigyan mo ako ng isa.	Give me one.
Bigyan mo ako ng kalahati.	Give me half.
Bigyan mo ako ng pera.	Give me money.
Bigyan mo ako.	Give me (some).
Bigyan mo ito ng buhay.	Give this life.
Bigyan mo sila ng dalawa.	Give them two.
Bigyan mo sila.	Give them (some).
bigyang babala	to give warning
bigyang-diin	emphasize, stress, accentuate
bíilang gamot	as medicine
bilang halimbawa	as an example
Bilang padamdam, ang salitang Namán! ay pagpapahayag ng mahinahong	pagtutol o pagtanggi.
bílang tresurero	as treasurer
bílang	number
biláng: nabílang na; alam kung ilan	biláng: may takda
bilanggo	prisoner
bilanggóng polítikál	political prisoner
bilangguan	jail
bilibid: sinulid, kurdon o iba pa na nakaikid nang maraming beses,	kidkid, kilikid, pulupot
bilibirin: (binibilibid, binilibid, bibilibirin)	to wind rope, wire, etc. around something, or roll it up
Bilisan mo.	Hurry up.
Bilisan ninyong lahat.	Hurry up, all of you.
Bilis-bilisan n’yo nga.	Hurry up, will you all?
Bilog ang buwan.	The moon is round.
bilóg na buwan	round moon
bilóg	round
Bilugan mo ang tamang sagot.	Circle the right answer.
